db_type,isolation_lvl,concurrent,query,planning_time,execution_time
single_node,read_uncommitted,1,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.604 ms,11154.125 ms
single_node,read_uncommitted,1,"SELECT ST_ConvexHull(ST_Union(st.geom)) FROM nyc_streets AS st JOIN nyc_neighborhoods AS nb ON ST_Contains(nb.geom, st.geom) GROUP BY nb.boroname HAVING nb.boroname = 'Brooklyn'",3.212 ms,574.555 ms
single_node,read_uncommitted,1,"SELECT ST_Intersection(mc.geom, mcb.geom) FROM mc, mcb",1.137 ms,192.631 ms
single_node,read_uncommitted,1,"SELECT sum(distinct popn_total) AS population_within_500m_of_subway FROM nyc_census_blocks AS cb JOIN nyc_subway_stations AS sub ON ST_DWithin(cb.geom, sub.geom, 500)",3.325 ms,75.186 ms
single_node,read_uncommitted,10,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.826 ms,100119.374 ms
single_node,read_uncommitted,10,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.792 ms,100039.612 ms
single_node,read_uncommitted,10,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.845 ms,100222.761 ms
single_node,read_uncommitted,10,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.785 ms,100138.301 ms
single_node,read_uncommitted,10,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.798 ms,99992.892 ms
single_node,read_uncommitted,10,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.851 ms,100156.859 ms
single_node,read_uncommitted,10,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.832 ms,100088.636 ms
single_node,read_uncommitted,10,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.676 ms,100127.274 ms
single_node,read_uncommitted,10,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.772 ms,99875.591 ms
single_node,read_uncommitted,10,SELECT ST_AsText(ST_Union(geom)) FROM nyc_census_blocks,0.633 ms,99986.041 ms
